,ds,dd,cs,cd,acc_knn
layer 0,0.2124 / 0.2135,1.0878 / 1.0877,0.1479 / 0.1486,1.0475 / 1.0452,0.9688 / 0.9684
layer 1,0.1806 / 0.2271,1.0913 / 1.0861,0.1275 / 0.1577,1.0632 / 1.0401,0.9852 / 0.9641
layer 2,0.1546 / 0.2600,1.0942 / 1.0825,0.1094 / 0.1801,1.0768 / 1.0245,0.9911 / 0.9486
layer 3,0.1772 / 0.3649,1.0917 / 1.0708,0.1270 / 0.2568,1.0729 / 0.9713,0.9908 / 0.8849
