,ds,dd,cs,cd,acc_knn
layer 0,0.2994 / 0.3046,1.0778 / 1.0773,0.2208 / 0.2254,1.0197 / 1.0165,0.8122 / 0.8130
layer 1,0.2602 / 0.3030,1.0822 / 1.0774,0.1895 / 0.2224,1.0433 / 1.0182,0.8836 / 0.8075
layer 2,0.2693 / 0.3230,1.0812 / 1.0752,0.1942 / 0.2362,1.0421 / 1.0086,0.8912 / 0.7901
layer 3,0.3328 / 0.3470,1.0741 / 1.0725,0.2444 / 0.2521,1.0084 / 0.9963,0.8924 / 0.7729
