,ds,dd,cs,cd,acc_knn
layer 0,0.3428 / 0.3428,1.0732 / 1.0732,0.2454 / 0.2454,1.0079 / 1.0079,0.9713 / 0.9713
layer 1,0.3175 / 0.3551,1.0761 / 1.0719,0.2290 / 0.2531,1.0268 / 1.0000,0.9861 / 0.9661
layer 2,0.3049 / 0.3833,1.0775 / 1.0687,0.2209 / 0.2731,1.0326 / 0.9817,0.9915 / 0.9529
layer 3,0.3106 / 0.4444,1.0768 / 1.0619,0.2260 / 0.3159,1.0406 / 0.9355,0.9911 / 0.9155
